"text","rating","name","placeId","stars"
,,"William Kimbrel","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
"I recently had the pleasure of working with Bledsoe’s Electrical to have new electrical plugs installed in my home, and I am thrilled with the results. From start to finish, their service was nothing short of exceptional.

The entire process was smooth and hassle-free. They provided a detailed estimate, outlining the scope of the work, costs, and a reasonable timeline for completion. This level of transparency was greatly appreciated.

He arrived on time, and his work was nothing short of impeccable. They took great care to ensure that the new plugs were not only functional but also aesthetically pleasing. The attention to detail was evident, and the finished work blended seamlessly with my home's existing electrical setup.

What truly sets them apart is their commitment to customer satisfaction. They went above and beyond to answer my questions and address any concerns I had during and after the installation.

In summary, Bledsoe’s Electrical exceeded my expectations in every aspect of the plug installation. Their professionalism, attention to detail, and dedication to customer satisfaction make them the go-to choice for electrical work. I highly recommend them to anyone seeking top-notch electrical services, and I will undoubtedly turn to them for any future electrical needs.",,"Fred Miller","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
"An honest and reliable electrician!

Jason will be one of my go-tos for all things electrical. He was responsive, knowledgeable, efficient, and professional. I reached out to Jason in a bit of crunch with a client needing a second opinion and repair work on a few items that came up from a home inspection, and he quickly responded and got over to the home. He explained what was going on without talking over my head, accurately priced the work and made the repairs with time to spare before closing. Jason was great to work with, and both my client and I were appreciative of his time and efforts.",,"Jasmine Kemp REALTOR","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
"Jason arrived promptly and installed our fire alarms, outlets, and repaired our panel correctly and efficiently. We'll definitely use him again and send him to all of my friends and family!",,"Vinetra King","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
"Great company, excellent work. Jason gets the job done professional and fast. You call he answers. It's hard now a DayZ to find a company that's well rounded and provides good service.",,"Jonathan Bell","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
"Reached out to Jason about a faulty range outlet. He was responsive and got out here quickly. He figured out the issue and got everything up and running in 30 minutes. Professional, knowledgeable, and reasonable. Highly recommend",,"Daniel Logan","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
,,"Kaleshia Coleman","ChIJtaZUNhBeDg0RJexe3P0y2M8","5"
,,,"ChIJRbviIlcqjIgRq5SRGK9hWPo",
,,,"ChIJVf7jyrrWjogRom5faf-vxqg",
"Very prompt and does very neat work!! I am pleased with the installation of my new Tiffany style lamp in my kitchen as well as the repairs and reworking of my bathroom lighting. I look forward to Ryan putting in a whole home surge protector. I highly recommend Wire Nuts!",,"Chanda Mitchell","ChIJS_PBNZLqem8RtCtpOFTbIPY","5"
"I have an older house with crazy wiring that has been altered over the years by previous owners. We were experiencing lights going out on their own and other receptacle issues. I called Ryan, and he was quick to respond and showed up on time.
I explained the issues, and he patiently listened; I could see he was thinking and processing the information. He set off to investigate, and within about 20 minutes, he said he knew what the problem was and got to work.
There were wires crossed and bad grounds all over the house. He has been out several times now and has fixed so much bad wiring, run new wires, put in a new panel, added new circuits, etc.
I can’t say enough how grateful we are to have found him.",,"Jason Campbell","ChIJS_PBNZLqem8RtCtpOFTbIPY","5"
"Came when he said he would. Fixed our problem. Reasonable. JD is a very nice man.",,"Charlotte White","ChIJxVMairXCiYgRTEm8MeacYbQ","5"
"JD Electric is the best quality and value around Huntsville.",,"Jason Crowson","ChIJxVMairXCiYgRTEm8MeacYbQ","5"
"Friendly service. JD found our electrical problem fast. Highly recommend!",,"Waymon Kilmer","ChIJxVMairXCiYgRTEm8MeacYbQ","5"
"Great people!",,"Ann Walthers","ChIJJ9VfqMWFjogRCQQKEE73JbM","5"
,,"Ashiv 76","ChIJJ9VfqMWFjogRCQQKEE73JbM","5"
"This business has handled multiple jobs on both our home and on our rental properties. If you want good honest workers who do a great job at a very affordable price, then this is the company for you!",,"Bonnie Harrison","ChIJF29RSCN1YogRcxDSyTusRm4","5"
,,"Jeremy Self","ChIJF29RSCN1YogRcxDSyTusRm4","5"
"Good and honest electrical company. Would recommend them to everyone.",,"Dewayne Sloan","ChIJF29RSCN1YogRcxDSyTusRm4","5"
